company,product,month,quantity,value
Mahavir Paper Trading Company,JK ENDURA 290GSM-76.0X79.5/17.5KG-100SHT,2026-05,350.0,24192.0
Mahavir Paper Trading Company,JK ENDURA 290GSM-84.0CMS,2026-06,2189.0,144364.55
Mahavir Paper Trading Company,JK ENDURA 290GSM-94.0CMS,2026-06,2390.0,157620.5
Mahavir Paper Trading Company,JK ENDURA 300GSM-83.0X56.7/14.1KG-100SHT,2026-04,1762.5,121101.38
Mahavir Paper Trading Company,JK ENDURA 320GSM-74.0CMS,2026-06,2735.0,189590.2
Mahavir Paper Trading Company,JK ENDURA 340GSM 73.0CMS,2026-04,3288.0,216843.6
Mahavir Paper Trading Company,JK ENDURA 340GSM 74.0CMS,2026-04,1481.0,102662.92
Mahavir Paper Trading Company,JK ENDURA 380GSM 76.0CMS,2026-06,2080.0,137176.0
Mahavir Paper Trading Company,JK ENDURA 380GSM 88.50CMS,2026-05,1296.0,85471.2
Mahavir Paper Trading Company,JK ENDURA 380GSM 88.50CMS,2026-06,1206.0,79535.7
Mahavir Paper Trading Company,JK ENDURA-200GSM-99.0X77.0/30.5KG-200SHT,2026-05,3446.5,235051.3
Mahavir Paper Trading Company,JK PRISTINE COTEBULK-200GSM-61.0X91.5/22.3KG-200SHT,2026-05,1338.0,103026.0
Mahavir Paper Trading Company,JK TUFFCOTE 190GSM- 93.0CMS,2026-04,1488.0,96901.44
Mahavir Paper Trading Company,JK TUFFCOTE 190GSM-68.50CMS,2026-04,15679.0,1040500.42
Mahavir Paper Trading Company,JK TUFFCOTE 190GSM-68.50CMS,2026-06,14458.0,960878.68
Mahavir Paper Trading Company,JK TUFFCOTE 230GSM-67.0X80.5/24.8KGS-200SHT,2026-04,1537.6,107063.09
Mahavir Paper Trading Company,JK TUFFCOTE 250 GS3-66CMS,2026-04,1672.0,111121.12
Mahavir Paper Trading Company,JK TUFFCOTE 250 GSM-59 CMS,2026-04,1800.0,118395.84
Mahavir Paper Trading Company,JK TUFFCOTE 250 GSM-72.5CMS,2026-04,2253.0,148224.78
Mahavir Paper Trading Company,JK TUFFCOTE 250 GSM-91.5CMS,2026-04,4655.0,309371.3
Mahavir Paper Trading Company,JK TUFFCOTE 250 GSM-91.5CMS,2026-05,465.0,29955.3
Mahavir Paper Trading Company,JK TUFFCOTE 250 GSM-91.5CMS,2026-06,2817.0,187217.82
Mahavir Paper Trading Company,JK TUFFCOTE 250GSM-96.5CMS,2026-04,2504.0,163304.84
Mahavir Paper Trading Company,JK TUFFCOTE 270GSM-97.50CMS,2026-04,485.0,32233.1
Mahavir Paper Trading Company,JK TUFFCOTE 270GSM-97.50CMS,2026-05,1509.0,100288.14
Mahavir Paper Trading Company,JK TUFFCOTE 280 GSM-66CMS,2026-04,3038.0,200514.2
Mahavir Paper Trading Company,JK TUFFCOTE 280 GSM-72.50CMS,2026-04,2171.0,142807.7
Mahavir Paper Trading Company,JK TUFFCOTE 280 GSM-72.50CMS,2026-05,741.0,47735.22
Mahavir Paper Trading Company,JK TUFFCOTE 280GSM-59CMS,2026-04,2456.0,163225.76
Mahavir Paper Trading Company,JK TUFFCOTE 320 GSM-75.0CMS,2026-04,4858.0,322862.68
Mahavir Paper Trading Company,JK TUFFCOTE 380GSM-59CMS,2026-04,2313.0,153721.98
Mahavir Paper Trading Company,JK TUFFCOTE 380GSM-59CMS,2026-05,284.0,18295.28
Mahavir Paper Trading Company,JK TUFFCOTE 380GSM-60 CMS,2026-05,579.0,40431.57
Mahavir Paper Trading Company,JK TUFFCOTE 380GSM-60 CMS,2026-06,290.0,20250.7
Mahavir Paper Trading Company,JK TUFFCOTE 390GSM_63CMS,2026-04,3111.0,206757.06
Mahavir Paper Trading Company,JK TUFFCOTE 390GSM_66CMS,2026-04,3546.0,235667.16
Mahavir Paper Trading Company,JK TUFFCOTE 390GSM_72.50CMS,2026-04,3549.0,235866.54
Mahavir Paper Trading Company,JK TUFFCOTE 390GSM_86CMS,2026-04,3361.0,223372.06
Mahavir Paper Trading Company,JK TUFFCOTE-190GSM-103 CMS,2026-04,1132.0,74082.16
Mahavir Paper Trading Company,JK TUFFCOTE-230GSM-65.3X98.0/29.4KGS-200 SHT,2026-05,7291.2,507686.26
Mahavir Paper Trading Company,JK ULITMA 190 GSM-54CMS,2026-04,843.0,58866.69
Mahavir Paper Trading Company,JK ULTIMA 190GSM-57.60X82.5-18.10KGS-200SHT,2026-04,3402.8,236936.96
Mahavir Paper Trading Company,JK ULTIMA 190GSM-74.0CMS,2026-04,2853.0,199224.99
Mahavir Paper Trading Company,JK ULTIMA 190GSM-91.5X93.5/32.5KG-200SHT,2026-04,5200.0,362076.0
Mahavir Paper Trading Company,JK ULTIMA 220GSM-63.5CMS,2026-06,3910.0,272722.5
Mahavir Paper Trading Company,JK ULTIMA 250GSM 72.5X51.0/18.5KG-200SHT,2026-04,795.5,53441.69
Mahavir Paper Trading Company,JK ULTIMA 250GSM 72.5X51.0/18.5KG-200SHT,2026-05,2368.0,163912.96
Mahavir Paper Trading Company,JK ULTIMA 250GSM 72.5X51.0/18.5KG-200SHT,2026-06,4255.0,294531.1
Mahavir Paper Trading Company,JK ULTIMA 250GSM 78 CMS,2026-04,2146.0,149855.18
Mahavir Paper Trading Company,JK ULTIMA 250GSM 78.50 CMS,2026-06,2551.0,168238.45
Mahavir Paper Trading Company,JK ULTIMA 250GSM-102.0CMS,2026-06,3467.0,238217.57
Mahavir Paper Trading Company,JK ULTIMA 250GSM-102.5CMS,2026-04,3334.0,221577.64
Mahavir Paper Trading Company,JK ULTIMA 250GSM-91.50CMS,2026-04,3414.0,226894.44
Mahavir Paper Trading Company,JK ULTIMA 260GSM 76.0X102.0/20.2-100SHT,2026-04,4504.6,323790.65
Mahavir Paper Trading Company,JK ULTIMA 280GSM-100.0X74.0/20.7KGS-100SHT,2026-04,7058.7,486894.43
Mahavir Paper Trading Company,JK ULTIMA 280GSM-101.0X71.50/20.2KG-100SHT,2026-04,6423.6,447275.27
Mahavir Paper Trading Company,JK ULTIMA 280GSM-102.0X73.0/20.8KG-100SHT,2026-04,3224.0,224487.12
Mahavir Paper Trading Company,JK ULTIMA 300 GSM-106.0CMS,2026-04,5563.0,388464.29
Mahavir Paper Trading Company,JK ULTIMA 300GSM 102.0X50.0/15.3KG-100SHT,2026-04,2524.5,172654.69
Mahavir Paper Trading Company,JK ULTIMA 300GSM 105.10X75.30/23.7KG-100SHT,2026-05,21922.5,1575789.2999999998
Mahavir Paper Trading Company,JK ULTIMA 300GSM 49.0X58.0/8.5KG-100SHT,2026-04,790.5,53105.79
Mahavir Paper Trading Company,JK ULTIMA 300GSM 58.0X89.0/15.5KG-100SHT,2026-04,5130.5,344666.99
Mahavir Paper Trading Company,JK ULTIMA 300GSM 58.0X89.0/15.5KG-100SHT,2026-05,5378.5,372299.77
Mahavir Paper Trading Company,JK ULTIMA 300GSM 83.0X61.50/15.30-100SHT,2026-06,1086.3,75193.69
Mahavir Paper Trading Company,JK ULTIMA 340 GSM-58.0X87.0/17.2KGS-100 SHT,2026-05,2373.6,170614.37
Mahavir Paper Trading Company,JK ULTIMA-220GSM-58.50CMS,2026-06,4578.0,319315.5
Mahavir Paper Trading Company,JK ULTIMA-280GSM-73.0X89.0/18.2KG-100 SHT,2026-04,4131.4,288495.66
Mahavir Paper Trading Company,JK ULTIMA-280GSM-73.0X89.0/18.2KG-100 SHT,2026-06,1983.8,142595.54
Mahavir Paper Trading Company,JK ULTIMA-300GSM-102CMS,2026-05,3860.0,254567.0
Mahavir Paper Trading Company,JK-ENDURA-200GSM-103.0CMS,2026-04,5051.0,333113.45
Mahavir Paper Trading Company,JK-ENDURA-230GSM-102.0CMS,2026-04,2503.0,173507.96
Mahavir Paper Trading Company,JK-ENDURA-230GSM-104.0CMS,2026-06,2764.0,182285.8
Mahavir Paper Trading Company,JK-ENDURA-230GSM-61.0CMS,2026-06,2265.0,154473.0
Mahavir Paper Trading Company,JK-ENDURA-230GSM-62.0CMS,2026-06,3388.0,223438.6
Mahavir Paper Trading Company,JK-ENDURA-230GSM-67.0CMS,2026-06,2088.0,137703.6
Mahavir Paper Trading Company,JK-ENDURA-230GSM-71.0CMS,2026-04,5917.0,389467.27
