month,company,product,quantity,value,rate,quantity_lag1,quantity_lag2,quantity_lag3,quantity_rolling_mean_3,quantity_overall_avg,rate_lag1,rate_lag2,rate_lag3,rate_rolling_mean_3,rate_overall_avg,month_num,quarter,n_prior_months
2024-09,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,1582.7,120606.5,76.203007518797,178.5,178.5,178.5,178.5,178.5,76.5,76.5,76.5,76.5,76.5,9,3,1
2024-10,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,119.0,9103.5,76.5,1582.7,178.5,178.5,646.5666666666667,880.6,76.203007518797,76.5,76.5,76.40100250626567,76.3515037593985,10,4,2
2024-11,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,261.8,20027.7,76.5,119.0,1582.7,178.5,626.7333333333333,626.7333333333333,76.5,76.203007518797,76.5,76.40100250626567,76.40100250626567,11,4,3
2024-12,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,571.2,43429.05,76.03125,261.8,119.0,1582.7,654.5,535.5,76.5,76.5,76.203007518797,76.40100250626567,76.42575187969925,12,4,4
2025-01,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,380.8,29321.6,77.0,571.2,261.8,119.0,317.3333333333333,542.64,76.03125,76.5,76.5,76.34375,76.3468515037594,1,1,5
2025-02,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,375.24666666666667,28953.493333333332,77.15856236786469,380.8,571.2,261.8,404.59999999999997,515.6666666666666,77.0,76.03125,76.5,76.51041666666667,76.45570958646617,2,1,6
2025-03,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,369.6933333333333,28585.386666666665,77.32188841201716,375.24666666666667,380.8,571.2,442.41555555555556,495.6066666666667,77.15856236786469,77.0,76.03125,76.7299374559549,76.55611712666595,3,1,7
2025-04,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,364.14,28217.28,77.49019607843137,369.6933333333333,375.24666666666667,380.8,375.24666666666667,479.8675,77.32188841201716,77.15856236786469,77.0,77.16015025996062,76.65183853733485,4,2,8
2025-05,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,358.5866666666667,27849.173333333332,77.66371681415929,364.14,369.6933333333333,375.24666666666667,369.6933333333333,467.00888888888886,77.49019607843137,77.32188841201716,77.15856236786469,77.32354895277108,76.74498937523447,5,2,9
2025-06,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,353.03333333333336,27481.066666666666,77.84269662921348,358.5866666666667,364.14,369.6933333333333,364.14000000000004,456.1666666666667,77.66371681415929,77.49019607843137,77.32188841201716,77.4919337682026,76.83686211912695,6,2,10
2025-07,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,347.48,27112.96,78.02739726027397,353.03333333333336,358.5866666666667,364.14,358.58666666666676,446.79090909090905,77.84269662921348,77.66371681415929,77.49019607843137,77.66553650726804,76.9283016200439,7,3,11
2025-08,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,341.9266666666667,26744.853333333333,78.21809744779581,347.48,353.03333333333336,358.5866666666667,353.0333333333333,438.51500000000004,78.02739726027397,77.84269662921348,77.66371681415929,77.84460356788225,77.01989292339641,8,3,12
2025-09,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,336.37333333333333,26376.746666666666,78.41509433962264,341.9266666666667,347.48,353.03333333333336,347.48,431.08512820512817,78.21809744779581,78.02739726027397,77.84269662921348,78.02939711242776,77.11206250219637,9,3,13
2025-10,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,330.82,26008.64,78.61870503597122,336.37333333333333,341.9266666666667,347.48,341.9266666666667,424.32000000000005,78.41509433962264,78.21809744779581,78.02739726027397,78.22019634923082,77.20513620486966,10,4,14
2025-11,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,325.26666666666665,25640.533333333333,78.82926829268293,330.82,336.37333333333333,341.9266666666667,336.3733333333334,418.0866666666667,78.61870503597122,78.41509433962264,78.21809744779581,78.41729894112989,77.2993741269431,11,4,15
2025-12,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,319.71333333333337,25272.426666666666,79.0471464019851,325.26666666666665,330.82,336.37333333333333,330.82,412.28541666666666,78.82926829268293,78.61870503597122,78.41509433962264,78.62102255609226,77.39499251230184,12,4,16
2026-01,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,314.16,24904.32,79.27272727272727,319.71333333333337,325.26666666666665,330.82,325.26666666666665,406.84,79.0471464019851,78.82926829268293,78.61870503597122,78.83170657687975,77.49217803522438,1,1,17
2026-02,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,308.6066666666667,24536.213333333333,79.5064267352185,314.16,319.71333333333337,325.26666666666665,319.71333333333337,401.6911111111111,79.27272727272727,79.0471464019851,78.82926829268293,79.04971398913176,77.59109743730788,2,1,18
